,a,b
django__django-12406,1.319586838209738,4.321057319641113
django__django-12419,0.9573452282747317,-3.759657621383667
django__django-12663,1.4667340479537208,0.5450809001922607
django__django-12708,1.683877266387709,-0.6953372955322266
django__django-12713,1.2335409573156655,-2.1291916370391846
django__django-12741,1.1819510452920945,-1.2127995491027832
django__django-12754,2.039348007698163,0.48892736434936523
django__django-12774,1.382815686817787,0.25596415996551514
django__django-12858,1.3633560832644984,-0.7949172258377075
django__django-12965,1.8862521623238422,0.6448087096214294
django__django-13012,1.3982034330188469,-1.0610836744308472
django__django-13023,1.1561769191481026,0.3724009096622467
django__django-13028,1.3589036103088672,-1.5427908897399902
django__django-13033,1.5025935486070598,-0.14824452996253967
django__django-13089,1.092840108205697,-3.24985933303833
django__django-13109,0.887005594802377,-2.9055776596069336
django__django-13112,1.7193685139580852,0.7256934642791748
django__django-13121,1.8794143757587343,-0.032171256840229034
django__django-13128,1.9575454325491948,0.34104636311531067
django__django-13158,1.5985722327382186,-0.1510072499513626
django__django-13195,1.4725603451363167,4.108736991882324
django__django-13212,2.0770331821458456,5.446451663970947
django__django-13279,1.310116221992444,-0.7653746604919434
django__django-13297,1.5464251743362631,0.336150199174881
django__django-13315,1.0385920252245973,-0.6358875036239624
django__django-13343,1.0077181061191,-1.0865343809127808
django__django-13344,1.5457195581063314,3.747650146484375
django__django-13346,1.7515018517501246,0.5457929968833923
django__django-13363,1.5305683737427784,-2.5226826667785645
django__django-13401,0.8340451621532162,-0.8849180340766907
django__django-13406,1.0795994079210192,0.14357928931713104
django__django-13410,1.0733651944223643,-3.3756790161132812
django__django-13417,1.539854622033635,-1.8673588037490845
django__django-13449,1.8695394724790415,-0.2708688974380493
django__django-13512,1.083392350511759,1.1812095642089844
django__django-13513,1.6945383237931089,5.533644199371338
django__django-13516,1.3772766614800074,-2.051905870437622
django__django-13551,1.2185009882545177,0.41622889041900635
django__django-13568,1.3323550422433041,0.6578009724617004
django__django-13569,1.1423437715477636,-1.1097313165664673
django__django-13590,1.1668260254604106,-1.0977978706359863
django__django-13658,0.9830630077519754,-4.640775203704834
django__django-13670,1.3994369001330225,-3.0472605228424072
django__django-13741,1.0522730989723785,-3.368004083633423
django__django-13786,0.9443425798089675,-2.4776499271392822
django__django-13794,0.6484963830604853,5.264934062957764
django__django-13807,1.4809879579556968,0.9718550443649292
django__django-13809,0.6711163821395701,-1.7763792276382446
django__django-13810,0.7915833656422714,-1.192070722579956
django__django-13820,1.2929720641210556,-2.7575955390930176
django__django-13821,1.720423688428886,-2.231306552886963
django__django-13837,1.305292390762532,-1.4213138818740845
django__django-13925,0.8642151124033023,0.5636756420135498
django__django-13933,1.3292762087438126,-1.8893609046936035
django__django-13964,1.2022771259758516,-0.0037331730127334595
django__django-14007,1.3034008135519946,-0.6119184494018555
django__django-14011,1.7415610290263603,5.381687164306641
django__django-14017,1.5025206472700632,-0.6188424825668335
django__django-14034,1.5276612983305033,5.443878650665283
django__django-14053,0.5920055660227503,-1.7644023895263672
django__django-14089,0.877980193147125,-3.3078091144561768
django__django-14122,1.2562422785215095,-0.5124093294143677
django__django-14140,0.436243746356454,2.778129816055298
django__django-14155,1.6369374989847216,5.330556392669678
django__django-14170,1.6173877872164788,4.061619758605957
django__django-14238,1.3387949546407587,-1.9492725133895874
